"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022- 12- 29","291.10","294.98","295.94","291.10","114.47M","-2.02%"
"2022- 12- 28","297.09","299.36","299.36","296.59","137.29M","-2.34%"
"2022- 12- 27","304.22","303.77","305.02","302.83","122.97M","0.65%"
"2022- 12- 26","302.27","301.76","302.97","300.66","78.88M","0.07%"
"2022- 12- 23","302.07","303.14","304.42","301.47","94.83M","-1.76%"
"2022- 12- 22","307.48","304.66","307.48","303.96","233.31M","1.40%"
"2022- 12- 21","303.23","305.84","305.99","302.92","76.96M","-0.27%"
"2022- 12- 20","304.05","305.65","306.58","302.96","88.75M","-0.89%"
"2022- 12- 19","306.77","306.33","307.99","305.19","77.96M","-0.23%"
"2022- 12- 16","307.48","303.48","307.48","303.09","114.65M","-0.08%"
"2022- 12- 15","307.73","310.73","311.98","307.73","95.26M","-1.76%"
"2022- 12- 14","313.23","310.87","313.41","310.57","83.85M","1.19%"
"2022- 12- 13","309.56","311.26","311.85","308.54","101.88M","-0.03%"
"2022- 12- 12","309.64","309.38","310.69","308.70","85.71M","-0.64%"
"2022- 12- 09","311.63","309.81","312.06","308.76","113.45M","1.10%"
"2022- 12- 08","308.24","308.78","309.00","306.01","121.10M","-0.01%"
"2022- 12- 07","308.27","309.11","310.25","308.08","92.85M","-0.60%"
"2022- 12- 06","310.14","310.90","313.34","309.70","100.04M","-1.20%"
"2022- 12- 05","313.91","316.26","317.07","312.92","113.97M","-0.35%"
"2022- 12- 02","315.02","320.76","320.76","315.02","114.75M","-2.17%"
"2022- 12- 01","322.02","325.37","325.49","321.44","130.32M","0.32%"
"2022- 11- 30","321.00","314.35","321.01","314.20","189.08M","1.72%"
"2022- 11- 29","315.58","311.79","315.74","311.07","94.42M","1.08%"
"2022- 11- 28","312.21","313.89","313.89","311.28","96.04M","-1.22%"
"2022- 11- 25","316.07","317.28","318.10","315.76","102.91M","-0.39%"
"2022- 11- 24","317.30","316.60","317.33","315.27","99.54M","1.02%"
"2022- 11- 23","314.11","314.84","315.24","312.65","148.27M","0.67%"
"2022- 11- 22","312.02","312.88","315.09","311.69","115.97M","-0.84%"
"2022- 11- 21","314.67","317.22","317.65","312.99","123.42M","-0.77%"
"2022- 11- 18","317.12","317.63","320.70","316.70","136.52M","0.12%"
"2022- 11- 17","316.75","319.98","320.35","316.75","157.36M","-1.62%"
"2022- 11- 16","321.96","322.98","322.98","318.02","177.08M","-0.11%"
"2022- 11- 15","322.31","322.76","323.03","319.96","144.81M","0.24%"
"2022- 11- 14","321.53","323.41","324.73","320.86","267.59M","-0.48%"
"2022- 11- 11","323.09","320.47","323.51","319.97","236.34M","3.84%"
"2022- 11- 10","311.13","312.63","314.91","311.13","149.97M","-1.30%"
"2022- 11- 09","315.23","313.40","316.09","312.54","162.13M","1.03%"
"2022- 11- 08","312.01","310.08","312.57","309.21","142.95M","1.34%"
"2022- 11- 07","307.87","306.08","308.15","305.05","148.87M","1.16%"
"2022- 11- 04","304.33","301.16","304.33","299.46","182.72M","0.89%"
"2022- 11- 03","301.66","298.55","303.80","297.62","179.82M","-0.73%"
"2022- 11- 02","303.87","302.49","305.10","302.02","192.34M","0.00%"
"2022- 11- 01","303.88","300.53","304.01","299.84","272.49M","1.44%"
"2022- 10- 31","299.58","298.61","300.05","296.45","121.05M","1.53%"
"2022- 10- 28","295.06","296.80","298.45","294.65","131.08M","-1.26%"
"2022- 10- 27","298.82","295.85","299.19","295.01","176.20M","1.69%"
"2022- 10- 26","293.85","292.21","295.28","291.40","122.30M","0.78%"
"2022- 10- 25","291.58","291.29","293.75","290.53","116.35M","0.04%"
"2022- 10- 24","291.47","293.60","294.24","290.52","116.18M","1.00%"
"2022- 10- 21","288.57","287.68","290.38","287.44","102.37M","-0.01%"
"2022- 10- 20","288.61","289.33","290.07","286.50","136.90M","-0.92%"
"2022- 10- 19","291.29","293.41","295.34","290.90","110.85M","-0.78%"
"2022- 10- 18","293.59","293.34","293.78","289.77","117.12M","1.39%"
"2022- 10- 17","289.57","285.89","290.04","284.91","111.60M","0.07%"
"2022- 10- 14","289.36","287.59","290.32","286.59","132.07M","2.40%"
"2022- 10- 13","282.57","286.27","286.36","282.57","133.29M","-1.57%"
"2022- 10- 12","287.09","285.23","287.52","284.32","120.86M","0.75%"
"2022- 10- 11","284.96","284.39","284.96","282.04","127.82M","-1.88%"
"2022- 10- 07","290.41","288.35","292.20","287.84","128.16M","-0.29%"
"2022- 10- 06","291.26","291.20","293.32","290.09","93.86M","0.76%"
"2022- 10- 05","289.05","293.87","294.47","287.44","138.91M","0.27%"
"2022- 10- 04","288.27","286.25","288.96","285.42","120.02M","2.46%"
"2022- 09- 30","281.36","281.75","284.35","278.39","143.74M","-0.46%"
"2022- 09- 29","282.65","286.60","287.81","282.56","128.43M","-0.19%"
"2022- 09- 28","283.19","287.66","289.75","280.80","160.84M","-2.42%"
"2022- 09- 27","290.20","290.27","290.75","286.76","152.31M","0.15%"
"2022- 09- 26","289.77","293.65","293.96","289.01","177.69M","-2.68%"
"2022- 09- 23","297.74","301.48","302.09","296.85","114.63M","-1.30%"
"2022- 09- 22","301.65","300.67","302.19","299.30","114.96M","-0.99%"
"2022- 09- 21","304.67","305.09","306.07","303.77","104.49M","-0.93%"
"2022- 09- 20","307.54","308.76","309.98","306.79","96.96M","0.34%"
"2022- 09- 19","306.49","309.58","309.89","305.68","101.19M","-0.71%"
"2022- 09- 16","308.69","308.58","309.54","307.03","135.94M","-0.62%"
"2022- 09- 15","310.63","313.15","313.84","310.63","111.22M","-0.67%"
"2022- 09- 14","312.74","310.08","313.94","309.06","118.21M","-1.83%"
"2022- 09- 13","318.56","313.93","319.37","313.93","150.59M","3.05%"
"2022- 09- 08","309.12","310.23","310.51","308.26","149.12M","0.31%"
"2022- 09- 07","308.16","310.86","311.10","306.69","146.29M","-1.55%"
"2022- 09- 06","313.01","313.36","314.97","311.69","91.54M","0.17%"
"2022- 09- 05","312.47","313.09","315.22","310.91","112.44M","-0.14%"
"2022- 09- 02","312.92","316.46","316.74","312.18","133.78M","-0.67%"
"2022- 09- 01","315.02","318.74","318.76","315.02","183.42M","-2.46%"
"2022- 08- 31","322.96","316.96","323.37","316.26","228.42M","1.09%"
"2022- 08- 30","319.49","317.97","320.00","316.94","133.48M","0.99%"
"2022- 08- 29","316.35","317.45","317.47","315.48","203.73M","-2.33%"
"2022- 08- 26","323.91","325.36","326.59","323.30","188.82M","0.09%"
"2022- 08- 25","323.63","321.58","323.63","320.81","130.66M","1.18%"
"2022- 08- 24","319.86","320.15","320.99","318.16","156.50M","0.37%"
"2022- 08- 23","318.69","320.85","321.50","318.26","118.04M","-1.26%"
"2022- 08- 22","322.77","323.29","324.42","321.83","93.52M","-1.23%"
"2022- 08- 19","326.79","329.06","329.08","326.34","125.26M","-0.61%"
"2022- 08- 18","328.80","327.47","329.94","326.06","101.50M","-0.34%"
"2022- 08- 17","329.91","332.11","333.24","329.30","105.79M","-0.56%"
"2022- 08- 16","331.78","332.68","333.47","331.08","131.43M","0.34%"
"2022- 08- 12","330.67","329.23","331.12","329.07","138.07M","0.23%"
"2022- 08- 11","329.92","328.20","329.92","327.74","140.04M","1.72%"
"2022- 08- 10","324.35","326.30","326.43","323.86","134.97M","-1.15%"
"2022- 08- 09","328.11","327.21","328.62","325.28","121.62M","0.27%"
"2022- 08- 08","327.23","326.05","327.45","325.21","113.67M","-0.08%"
"2022- 08- 05","327.50","326.71","328.47","326.36","119.89M","0.62%"
"2022- 08- 04","325.47","326.11","326.40","324.38","110.17M","0.52%"
"2022- 08- 03","323.80","321.48","323.80","320.25","93.90M","0.67%"
"2022- 08- 02","321.64","322.64","322.85","320.21","113.13M","-0.41%"
"2022- 08- 01","322.97","322.14","324.31","320.86","111.15M","-0.11%"
"2022- 07- 29","323.31","324.38","325.83","321.95","163.69M","0.53%"
"2022- 07- 28","321.62","322.89","323.73","320.76","131.10M","0.59%"
"2022- 07- 27","319.74","319.83","320.04","317.30","88.69M","0.04%"
"2022- 07- 26","319.61","317.39","319.91","317.03","87.53M","0.40%"
"2022- 07- 25","318.34","316.40","320.07","316.20","94.02M","0.32%"
"2022- 07- 22","317.33","319.12","320.94","317.00","120.59M","-0.74%"
"2022- 07- 21","319.68","316.22","320.14","316.22","91.22M","1.16%"
"2022- 07- 20","316.02","319.15","319.68","315.48","113.81M","0.68%"
"2022- 07- 19","313.90","313.38","314.06","311.81","95.26M","-0.31%"
"2022- 07- 18","314.87","311.06","315.17","310.60","113.85M","2.26%"
"2022- 07- 15","307.91","307.45","308.14","302.10","125.25M","0.84%"
"2022- 07- 14","305.35","304.70","307.93","303.65","115.97M","-0.40%"
"2022- 07- 13","306.59","306.24","308.62","304.99","110.89M","0.51%"
"2022- 07- 12","305.03","306.94","307.56","303.32","107.07M","-1.06%"
"2022- 07- 11","308.29","311.05","311.86","307.97","94.92M","-0.60%"
"2022- 07- 08","310.15","310.73","313.01","310.02","108.52M","0.60%"
"2022- 07- 07","308.31","304.30","310.07","304.20","126.31M","1.99%"
"2022- 07- 06","302.28","307.14","307.90","302.06","156.26M","-2.18%"
"2022- 07- 05","309.03","307.15","309.99","305.35","110.06M","1.65%"
"2022- 07- 04","304.01","304.46","305.82","300.82","128.36M","0.00%"
"2022- 07- 01","304.02","308.72","310.55","301.95","136.34M","-1.04%"
"2022- 06- 30","307.20","311.20","311.63","307.20","143.73M","-1.81%"
"2022- 06- 29","312.86","314.33","315.16","312.52","132.70M","-1.96%"
"2022- 06- 28","319.11","316.65","319.11","315.19","117.27M","0.92%"
"2022- 06- 27","316.20","314.31","319.08","311.85","136.48M","1.32%"
"2022- 06- 24","312.07","307.47","313.42","306.27","137.83M","2.17%"
"2022- 06- 23","305.45","308.81","310.94","304.13","197.73M","-0.85%"
"2022- 06- 22","308.08","317.47","317.63","308.08","161.70M","-2.62%"
"2022- 06- 21","316.38","315.95","318.74","313.66","120.06M","0.62%"
"2022- 06- 20","314.44","321.46","321.62","311.71","151.13M","-1.77%"
"2022- 06- 17","320.09","316.36","320.71","314.79","197.27M","-0.67%"
"2022- 06- 16","322.25","326.72","328.84","321.54","138.75M","0.01%"
"2022- 06- 15","322.21","327.70","328.30","320.29","159.36M","-1.83%"
"2022- 06- 14","328.23","325.68","329.27","323.36","174.25M","-0.50%"
"2022- 06- 13","329.88","335.76","335.97","329.88","163.80M","-3.51%"
"2022- 06- 10","341.89","342.32","343.25","340.66","136.21M","-1.36%"
"2022- 06- 09","346.62","345.35","346.82","343.69","191.39M","0.12%"
"2022- 06- 08","346.22","346.46","348.11","345.56","123.30M","0.16%"
"2022- 06- 07","345.67","350.04","350.53","345.02","135.31M","-1.80%"
"2022- 06- 03","352.01","353.47","353.93","351.10","134.65M","0.43%"
"2022- 06- 02","350.51","352.29","352.81","349.55","196.09M","-1.14%"
"2022- 05- 31","354.54","351.79","354.72","350.01","266.68M","0.58%"
"2022- 05- 30","352.49","351.53","352.85","350.07","151.01M","1.28%"
"2022- 05- 27","348.04","348.42","349.11","347.15","133.07M","1.10%"
"2022- 05- 26","344.26","345.54","349.03","342.65","126.45M","-0.39%"
"2022- 05- 25","345.60","346.34","347.60","343.51","125.14M","0.44%"
"2022- 05- 24","344.08","349.02","349.79","344.08","151.00M","-1.79%"
"2022- 05- 23","350.34","351.16","351.41","348.48","183.16M","0.30%"
"2022- 05- 20","349.29","345.15","349.68","344.89","133.21M","1.76%"
"2022- 05- 19","343.24","341.07","344.10","340.55","196.53M","-1.46%"
"2022- 05- 18","348.34","349.62","351.20","347.15","166.29M","0.23%"
"2022- 05- 17","347.53","345.14","347.91","345.13","171.09M","1.04%"
"2022- 05- 16","343.94","348.13","348.88","343.52","231.88M","-0.45%"
"2022- 05- 13","345.50","340.49","345.82","339.72","187.36M","2.24%"
"2022- 05- 12","337.94","340.14","343.03","337.65","262.82M","-1.60%"
"2022- 05- 11","343.44","342.22","344.45","341.22","184.52M","-0.07%"
"2022- 05- 10","343.67","343.22","344.73","338.46","249.37M","-0.50%"
"2022- 05- 09","345.41","347.71","349.40","344.84","256.54M","-1.03%"
"2022- 05- 06","349.00","350.26","350.26","347.98","622.95M","-1.37%"
"2022- 05- 04","353.85","354.85","356.05","352.27","279.18M","0.15%"
"2022- 05- 03","353.32","354.28","356.45","353.12","132.70M","-0.20%"
"2022- 05- 02","354.02","351.31","354.53","350.94","131.47M","-0.30%"
"2022- 04- 29","355.08","350.43","355.34","349.73","182.27M","1.41%"
"2022- 04- 28","350.16","348.61","350.16","346.02","164.68M","1.14%"
"2022- 04- 27","346.21","346.42","346.78","343.76","146.76M","-1.27%"
"2022- 04- 26","350.67","351.33","352.20","350.38","122.92M","0.48%"
"2022- 04- 25","348.98","351.36","352.26","348.91","139.46M","-1.81%"
"2022- 04- 22","355.43","355.54","356.08","353.64","214.76M","-1.00%"
"2022- 04- 21","359.02","358.33","360.74","358.24","148.56M","0.42%"
"2022- 04- 20","357.52","357.14","358.28","354.93","148.87M","0.04%"
"2022- 04- 19","357.36","355.77","358.53","355.29","130.22M","1.05%"
"2022- 04- 18","353.63","352.19","354.87","351.46","111.00M","-0.06%"
"2022- 04- 15","353.84","354.35","355.10","352.63","142.64M","-0.99%"
"2022- 04- 14","357.38","359.23","359.29","356.17","159.16M","-0.45%"
"2022- 04- 13","359.00","353.83","359.43","353.30","177.43M","1.90%"
"2022- 04- 12","352.32","353.51","354.83","351.37","129.72M","-0.97%"
"2022- 04- 11","355.78","354.47","357.73","353.78","131.52M","-0.06%"
"2022- 04- 08","356.01","356.86","357.62","354.27","166.11M","0.08%"
"2022- 04- 07","355.73","358.43","358.92","355.37","193.94M","-1.46%"
"2022- 04- 06","361.01","362.04","362.96","360.52","176.51M","-1.02%"
"2022- 04- 05","364.74","366.08","366.67","363.67","244.23M","-0.05%"
"2022- 04- 04","364.94","361.85","365.08","360.69","171.55M","0.48%"
"2022- 04- 01","363.19","363.97","364.10","361.54","446.85M","-0.66%"
"2022- 03- 31","365.61","364.10","367.01","363.94","388.61M","0.30%"
"2022- 03- 30","364.50","366.15","366.76","363.68","139.98K","0.20%"
"2022- 03- 29","363.77","364.18","365.56","362.27","132.70M","0.47%"
"2022- 03- 28","362.06","360.63","363.25","358.70","136.54M","0.00%"
"2022- 03- 25","362.06","364.76","364.92","361.34","119.07M","-0.36%"
"2022- 03- 24","363.38","361.83","363.50","360.40","149.35M","-0.40%"
"2022- 03- 23","364.84","364.06","366.40","362.89","137.43M","0.88%"
"2022- 03- 22","361.66","358.76","362.11","358.61","120.70M","0.81%"
"2022- 03- 21","358.77","363.81","363.86","358.41","117.14M","-0.98%"
"2022- 03- 18","362.33","361.16","362.78","359.60","155.32M","0.24%"
"2022- 03- 17","361.46","362.39","364.18","361.36","172.54M","1.51%"
"2022- 03- 16","356.09","354.88","356.29","351.97","125.09M","1.44%"
"2022- 03- 15","351.03","352.34","353.90","350.38","149.11M","-1.01%"
"2022- 03- 14","354.61","354.72","356.48","352.82","163.91M","-0.20%"
"2022- 03- 11","355.31","355.95","356.85","353.26","182.55M","-0.75%"
"2022- 03- 10","358.01","354.33","358.27","354.33","212.65M","2.47%"
"2022- 03- 08","349.38","348.12","352.82","346.85","185.90M","-1.03%"
"2022- 03- 07","353.03","356.59","356.59","351.91","193.16M","-2.39%"
"2022- 03- 04","361.69","365.35","365.54","360.19","237.19M","-1.46%"
"2022- 03- 03","367.06","364.37","367.40","363.99","167.18M","1.79%"
"2022- 03- 02","360.59","361.52","362.81","359.89","170.94M","-0.26%"
"2022- 02- 28","361.54","356.59","361.54","355.77","237.32M","0.86%"
"2022- 02- 25","358.44","358.79","360.85","357.02","154.97M","0.96%"
"2022- 02- 24","355.04","360.05","360.77","354.01","167.28M","-2.58%"
"2022- 02- 23","364.44","366.25","366.58","362.39","139.93M","0.26%"
"2022- 02- 22","363.51","362.93","364.81","360.74","162.88M","-1.30%"
"2022- 02- 21","368.29","362.83","368.75","361.14","109.54M","-0.07%"
"2022- 02- 18","368.55","365.57","369.32","364.69","137.05M","-0.27%"
"2022- 02- 17","369.55","368.11","373.03","365.48","209.73M","0.61%"
"2022- 02- 16","367.30","365.96","367.66","364.64","108.44M","1.91%"
"2022- 02- 15","360.43","364.44","364.79","358.75","140.83M","-0.70%"
"2022- 02- 14","362.98","364.36","365.97","360.46","146.97M","-1.53%"
"2022- 02- 11","368.61","367.54","371.35","366.90","161.47M","-0.80%"
"2022- 02- 10","371.57","371.84","372.86","369.30","180.49M","0.79%"
"2022- 02- 09","368.65","367.02","368.65","365.79","117.91M","1.42%"
"2022- 02- 08","363.48","365.91","367.32","360.78","133.11M","0.15%"
"2022- 02- 07","362.92","365.40","365.40","359.59","135.53M","-0.93%"
"2022- 02- 04","366.34","363.10","366.79","361.84","109.79M","1.31%"
"2022- 02- 03","361.60","364.07","366.13","361.60","125.48M","1.01%"
"2022- 01- 28","357.98","350.29","358.84","347.28","146.98M","2.70%"
"2022- 01- 27","348.58","360.83","363.11","348.55","158.32M","-3.39%"
"2022- 01- 26","360.83","363.72","365.31","360.47","109.34M","-0.43%"
"2022- 01- 25","362.39","370.30","370.73","359.85","142.18M","-2.40%"
"2022- 01- 24","371.30","374.64","375.45","369.63","112.64M","-1.27%"
"2022- 01- 21","376.08","376.74","377.69","373.35","134.24M","-1.13%"
"2022- 01- 20","380.39","377.97","380.45","376.49","114.10M","0.58%"
"2022- 01- 19","378.21","377.75","381.91","376.74","126.17M","-0.73%"
"2022- 01- 18","381.01","385.07","385.63","379.79","127.94M","-0.73%"
"2022- 01- 17","383.81","387.00","387.33","381.56","135.82M","-0.94%"
"2022- 01- 14","387.45","389.66","390.81","386.25","146.05M","-1.41%"
"2022- 01- 13","393.00","395.68","395.93","392.52","151.71M","-0.42%"
"2022- 01- 12","394.66","392.29","394.87","391.96","210.10M","1.46%"
"2022- 01- 11","388.97","388.32","390.43","386.26","133.43M","0.37%"
"2022- 01- 10","387.52","389.68","390.24","384.79","139.10M","-0.85%"
"2022- 01- 07","390.85","388.30","391.75","388.06","114.28M","1.20%"
"2022- 01- 06","386.22","386.59","390.51","385.30","152.39M","-1.07%"
"2022- 01- 05","390.39","394.91","395.20","387.56","175.49M","-1.27%"
"2022- 01- 04","395.40","396.01","396.71","393.35","117.16M","-0.03%"
"2022- 01- 03","395.51","397.16","399.44","394.26","97.58M","0.33%"